region,sex,year,e0deficit_Q025,e0deficit_Q50,e0deficit_Q975,e0expected_Q50,e0observed,e0_deficit_pval,sig
TW,Total,2022,-1.73404,-1.28574,-0.77002,81.108646,79.823229,0,sig
TW,Total,2023,-1.738862,-1.125649,-0.578016,81.259945,80.133608,0,sig
TW,Total,2024,-1.530465,-0.851474,-0.135746,81.40947,80.566366,0,sig
TW,Total,2020-2024,-1.047496,-0.6552,-0.206665,81.105868,80.458992,0,sig
US,Total,2020,-1.839349,-1.807834,-1.776188,78.836491,77.027375,0,sig
US,Total,2021,-2.462603,-2.418464,-2.375659,78.84352,76.42382,0,sig
US,Total,2022,-1.372066,-1.322691,-1.272219,78.850525,77.525281,0,sig
US,Total,2023,-0.387315,-0.327282,-0.273811,78.851559,78.523349,0,sig
US,Total,2024,0.220036,0.282944,0.35027199999999997,78.849841,79.130646,1,ns
US,Total,2020-2024,-1.175965,-1.134392,-1.089291,78.848263,77.713922,0,sig
