year,sex,region,e0_actual,e0_expected_avg,e0_expected_q050,e0_expected_q950,e0_deficit_avg,e0_deficit_q050,e0_deficit_q950,year_int,e0_deficit_pval,region_code_iso3166_2_alpha3,country_code_iso3166_1,country_code_iso3166_1_alpha3,region_code_stmf,calendar_stmf,region_code_hmd,region_code_wpp,region_code_coverage,region_name_en,region_name_de,region_name_short,region_level,country_name,hemisphere,continent,group,label
2021,Total,CL,78.326734,80.582925,80.541882,80.628797,-2.256191,-2.333205,-2.178293,2021,0,CHL,CL,CHL,CHL,iso_week_date,CHL,152,Chile,Chile,Chile,CHL,0,Chile,s,South America,B Second wave peak,B Second wave peak Chile
2022,Total,CL,78.693282,80.767536,80.71032,80.824006,-2.074254,-2.160313,-1.991929,2022,0,CHL,CL,CHL,CHL,iso_week_date,CHL,152,Chile,Chile,Chile,CHL,0,Chile,s,South America,B Second wave peak,B Second wave peak Chile
2023,Total,CL,79.93785,80.94583,80.883772,81.00659,-1.007981,-1.096888,-0.930002,2023,0,CHL,CL,CHL,CHL,iso_week_date,CHL,152,Chile,Chile,Chile,CHL,0,Chile,s,South America,B Second wave peak,B Second wave peak Chile
2024,Total,CL,79.894948,81.116019,81.044225,81.187412,-1.221071,-1.30814,-1.132865,2024,0,CHL,CL,CHL,CHL,iso_week_date,CHL,152,Chile,Chile,Chile,CHL,0,Chile,s,South America,B Second wave peak,B Second wave peak Chile
2020-2024,Total,CL,79.175729,80.761119,80.716731,80.808082,-1.58539,-1.644891,-1.535099,NA,0,CHL,CL,CHL,CHL,iso_week_date,CHL,152,Chile,Chile,Chile,CHL,0,Chile,s,South America,B Second wave peak,B Second wave peak Chile
2020,Male,CZ,75.239701,76.566748,76.167643,76.891896,-1.327047,-1.676832,-0.917666,2020,0,CZE,CZ,CZE,CZE,iso_week_date,CZE,203,Czechia,Czech Republic,Tschechien,CZE,0,Czech Republic,n,Europe,B Second wave peak,B Second wave peak Czech Republic
2021,Male,CZ,74.102294,76.809111,76.31043,77.241505,-2.706817,-3.163742,-2.192983,2021,0,CZE,CZ,CZE,CZE,iso_week_date,CZE,203,Czechia,Czech Republic,Tschechien,CZE,0,Czech Republic,n,Europe,B Second wave peak,B Second wave peak Czech Republic
2022,Male,CZ,76.08249,77.025051,76.457079,77.544565,-0.942561,-1.48513,-0.364864,2022,0,CZE,CZ,CZE,CZE,iso_week_date,CZE,203,Czechia,Czech Republic,Tschechien,CZE,0,Czech Republic,n,Europe,B Second wave peak,B Second wave peak Czech Republic
2023,Male,CZ,76.850367,77.227591,76.556071,77.837962,-0.377224,-0.991424,0.298919,2023,0.156,CZE,CZ,CZE,CZE,iso_week_date,CZE,203,Czechia,Czech Republic,Tschechien,CZE,0,Czech Republic,n,Europe,B Second wave peak,B Second wave peak Czech Republic
2024,Male,CZ,77.007739,77.443063,76.729228,78.099231,-0.435324,-1.090586,0.295144,2024,0.136,CZE,CZ,CZE,CZE,iso_week_date,CZE,203,Czechia,Czech Republic,Tschechien,CZE,0,Czech Republic,n,Europe,B Second wave peak,B Second wave peak Czech Republic
2020-2024,Male,CZ,75.809005,77.015208,76.519934,77.433469,-1.206203,-1.625662,-0.706901,NA,0,CZE,CZ,CZE,CZE,iso_week_date,CZE,203,Czechia,Czech Republic,Tschechien,CZE,0,Czech Republic,n,Europe,B Second wave peak,B Second wave peak Czech Republic
