group,region_iso,region_name_en,year,age_group,e0_cntrb_t_mean,region_ggflag
B Second wave peak,GR,Greece,2020-2024,20,-0.008077,gr
B Second wave peak,GR,Greece,2020-2024,40,-0.065606,gr
B Second wave peak,GR,Greece,2020-2024,60,-0.563316,gr
B Second wave peak,GR,Greece,2020-2024,80,-0.221179,gr
B Second wave peak,GR,Greece,2020-2024,100,-0.009306,gr
B Second wave peak,GR,Greece,2021,0,0.022224,gr
B Second wave peak,GR,Greece,2021,20,-0.002847,gr
B Second wave peak,GR,Greece,2021,40,-0.203445,gr
B Second wave peak,GR,Greece,2021,60,-0.849507,gr
B Second wave peak,GR,Greece,2021,80,-0.380617,gr
B Second wave peak,GR,Greece,2021,100,-0.00787,gr
B Second wave peak,GR,Greece,2022,0,0.035385,gr
B Second wave peak,GR,Greece,2022,20,-0.019287,gr
B Second wave peak,GR,Greece,2022,40,-0.031221,gr
B Second wave peak,GR,Greece,2022,60,-0.642341,gr
B Second wave peak,GR,Greece,2022,80,-0.430239,gr
B Second wave peak,GR,Greece,2022,100,-0.008669,gr
B Second wave peak,GR,Greece,2023,0,-0.006252,gr
B Second wave peak,GR,Greece,2023,20,-0.034883,gr
B Second wave peak,GR,Greece,2023,40,-0.007946,gr
B Second wave peak,GR,Greece,2023,60,-0.469429,gr
B Second wave peak,GR,Greece,2023,80,-0.061719,gr
B Second wave peak,GR,Greece,2023,100,-0.009737,gr
B Second wave peak,GR,Greece,2024,0,-0.06299,gr
B Second wave peak,GR,Greece,2024,20,-0.022111,gr
B Second wave peak,GR,Greece,2024,40,-0.016888,gr
B Second wave peak,GR,Greece,2024,60,-0.528635,gr
B Second wave peak,GR,Greece,2024,80,-0.035238,gr
B Second wave peak,GR,Greece,2024,100,-0.01219,gr
B Second wave peak,HR,Croatia,2020,0,-0.055238,hr
B Second wave peak,HR,Croatia,2020,20,0.005346,hr
B Second wave peak,HR,Croatia,2020,40,-0.036417,hr
B Second wave peak,HR,Croatia,2020,60,-0.526519,hr
B Second wave peak,HR,Croatia,2020,80,-0.169875,hr
B Second wave peak,HR,Croatia,2020,100,-0.003788,hr
B Second wave peak,HR,Croatia,2020-2024,0,-0.057727,hr
B Second wave peak,HR,Croatia,2020-2024,20,-0.031785,hr
B Second wave peak,HR,Croatia,2020-2024,40,-0.067158,hr
B Second wave peak,HR,Croatia,2020-2024,60,-0.568439,hr
B Second wave peak,HR,Croatia,2020-2024,80,-0.100417,hr
B Second wave peak,HR,Croatia,2020-2024,100,-0.006669,hr
B Second wave peak,HR,Croatia,2021,0,-0.103871,hr
B Second wave peak,HR,Croatia,2021,20,-0.081651,hr
B Second wave peak,HR,Croatia,2021,40,-0.286236,hr
B Second wave peak,HR,Croatia,2021,60,-1.029856,hr
B Second wave peak,HR,Croatia,2021,80,-0.427812,hr
B Second wave peak,HR,Croatia,2021,100,-0.003982,hr
B Second wave peak,HR,Croatia,2022,0,-0.04256,hr
