region,sex,year,e0deficit_Q05,e0deficit_Q50,e0deficit_Q95,e0expected_Q50,e0observed
NL,Female,2021,-1.320957,-0.879956,-0.434708,84.329701,83.444647
NL,Female,2022,-1.415212,-0.939164,-0.385068,84.485308,83.548411
NL,Female,2023,-1.413331,-0.820093,-0.2945,84.646502,83.831244
NL,Female,2024,-1.551461,-0.947859,-0.354238,84.79047,83.855186
NL,Female,2020-2024,-1.225763,-0.827326,-0.386647,84.492793,83.65283
NL,Total,2020,-1.063805,-0.853759,-0.621142,82.714171,81.85112
NL,Total,2021,-1.34335,-1.075848,-0.790543,82.892133,81.821529
NL,Total,2022,-1.35042,-1.0101850000000001,-0.686498,83.080176,82.076321
NL,Total,2023,-1.363905,-0.967536,-0.592701,83.287123,82.323282
NL,Total,2024,-1.47319,-1.018904,-0.556532,83.494907,82.462374
NL,Total,2020-2024,-1.286166,-0.978616,-0.689078,83.083469,82.107523
NO,Male,2020,-0.35045,-0.043093,0.339025,81.47385,81.440213
NO,Male,2021,-0.712238,-0.278619,0.226257,81.727942,81.45079
NO,Male,2022,-1.45217,-0.961861,-0.403344,81.994761,81.00613
NO,Male,2023,-1.617285,-1.003637,-0.404739,82.173053,81.184223
NO,Male,2024,-1.565418,-0.946963,-0.220568,82.415169,81.486411
NO,Male,2020-2024,-1.053258,-0.655429,-0.159439,81.967558,81.310463
NO,Female,2020,-0.260917,0.072005,0.396509,84.937124,85.001046
NO,Female,2021,-0.573143,-0.145216,0.276879,85.112927,84.977467
NO,Female,2022,-1.208877,-0.774551,-0.217765,85.282798,84.528463
NO,Female,2023,-1.136782,-0.542084,0.014194,85.4171,84.879663
NO,Female,2024,-1.292293,-0.599217,0.046727,85.581351,84.988021
NO,Female,2020-2024,-0.824646,-0.382653,7.93e-4,85.252167,84.870905
NO,Total,2020,-0.20633,0.014502,0.276,83.217852,83.232852
NO,Total,2021,-0.506357,-0.234838,0.108241,83.440855,83.220387
NO,Total,2022,-1.210529,-0.880564,-0.493871,83.64454,82.763463
NO,Total,2023,-1.221758,-0.785968,-0.384221,83.8,83.026614
NO,Total,2024,-1.23535,-0.780787,-0.345937,84.011368,83.231358
NO,Total,2020-2024,-0.846179,-0.543728,-0.201375,83.629436,83.09094
PL,Male,2020,-2.127158,-1.768841,-1.352102,74.667826,72.90449
PL,Male,2021,-3.440906,-2.884747,-2.313881,74.921055,72.01925
PL,Male,2022,-1.925301,-1.173261,-0.505963,75.148006,73.984144
PL,Male,2023,-0.646562,0.114007,0.833422,75.336552,75.458921
PL,Male,2024,-0.540629,0.32212,1.114887,75.535673,75.876295
PL,Male,2020-2024,-1.739432,-1.151452,-0.587421,75.131425,73.978982
PL,Female,2020,-1.56654,-1.187603,-0.808434,82.194425,81.010519
PL,Female,2021,-3.020298,-2.503463,-1.982261,82.381595,79.878301
PL,Female,2022,-1.726731,-1.078565,-0.37807,82.611807,81.535882
PL,Female,2023,-0.920954,-0.185613,0.613654,82.775743,82.590403
PL,Female,2024,-0.8589,0.082569,0.834545,82.958256,83.02262
PL,Female,2020-2024,-1.620595,-1.015952,-0.433895,82.595446,81.575044
PL,Total,2020,-1.84977,-1.542369,-1.279769,78.44785,76.906336
PL,Total,2021,-3.197941,-2.783341,-2.376491,78.66149,75.880233
PL,Total,2022,-1.648944,-1.1499220000000001,-0.682944,78.907474,77.759852
PL,Total,2023,-0.661472,-0.03546,0.599677,79.104567,79.069851
PL,Total,2024,-0.474831,0.212416,0.848987,79.278387,79.490744
PL,Total,2020-2024,-1.567274,-1.103895,-0.681257,78.881275,77.772763
PT,Male,2020,-1.315701,-0.965497,-0.582976,79.535018,78.574348
PT,Male,2021,-1.706213,-1.161327,-0.615419,79.781013,78.636457
PT,Male,2022,-1.740871,-1.111424,-0.498453,80.014618,78.903978
PT,Male,2023,-1.62748,-0.853928,-0.132735,80.299034,79.443485
PT,Male,2024,-1.572964,-0.767106,0.025674,80.539498,79.759304
PT,Male,2020-2024,-1.518633,-0.97322,-0.455253,80.023828,79.061509
PT,Female,2020,-1.619925,-1.121973,-0.665569,85.420482,84.297819
PT,Female,2021,-1.945208,-1.222942,-0.638074,85.613328,84.38335
PT,Female,2022,-2.136282,-1.31641,-0.562272,85.863316,84.552695
PT,Female,2023,-2.052952,-1.003979,-0.1069,86.128809,85.110285
PT,Female,2024,-2.059931,-0.913561,0.147603,86.319012,85.393722
PT,Female,2020-2024,-1.894155,-1.122333,-0.450358,85.866545,84.741759
PT,Total,2020,-1.347636,-1.071305,-0.764928,82.567311,81.512922
PT,Total,2021,-1.649235,-1.216039,-0.777371,82.795359,81.580562
PT,Total,2022,-1.729758,-1.225067,-0.756486,83.013191,81.798447
PT,Total,2023,-1.595396,-0.925952,-0.3666,83.298934,82.352062
PT,Total,2024,-1.554185,-0.871843,-0.16179,83.522854,82.660788
PT,Total,2020-2024,-1.526249,-1.060898,-0.63613,83.045818,81.977356
SE,Male,2020,-1.114245,-0.898654,-0.64116,81.834039,80.933018
SE,Male,2021,-0.806851,-0.45398,-0.132072,82.000171,81.54959
SE,Male,2022,-0.966103,-0.594977,-0.191177,82.2016,81.610801
SE,Male,2023,-0.979866,-0.481209,-0.034578,82.399996,81.90935
SE,Male,2024,-0.483234,0.090104,0.560866,82.553808,82.625781
SE,Male,2020-2024,-0.818549,-0.486028,-0.151246,82.196122,81.718356
SE,Female,2020,-0.866357,-0.580958,-0.325764,85.160083,84.567256
SE,Female,2021,-0.503748,-0.164139,0.158366,85.314453,85.138567
SE,Female,2022,-0.908515,-0.425404,-0.024736,85.421709,85.007278
